Elspot Prices in DKK/MWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data was last updated 10-03-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,TromsÃ¸,EE,EE,LV,LV,LT,LT,AT,AT,BE,BE,DE-LU,DE-LU,FR,FR,NL,NL
28-01-2020,"163,03","164,30","164,30","170,15","194,42","258,31","202,70","202,70","157,47","157,47","157,47","164,30","164,30","164,30",,"272,19",,"272,19",,"272,19",,,,,,,,,,
29-01-2020,"158,00","157,05","157,05","157,05","157,05","245,00","157,05","157,05","157,05","157,05","157,05","157,05","157,05","157,05",,"276,11",,"276,11",,"276,11",,,,,,,,,,
30-01-2020,"159,24","159,33","159,33","159,86","159,86","240,01","159,83","159,86","157,19","157,19","157,19","159,33","159,33","159,33",,"279,71",,"279,71",,"279,71",,,,,,,,,,
31-01-2020,"139,22","139,84","139,84","139,84","139,84","187,39","112,75","139,53","140,57","140,57","140,57","139,84","139,84","139,84",,"236,12",,"236,12",,"236,12",,,,,,,,,,
01-02-2020,"111,10","105,13","105,13","105,13","105,13","105,13","51,08","61,70","120,75","120,75","120,75","117,48","117,48","110,72",,"141,50",,"141,50",,"141,50",,,,,,,,,,
02-02-2020,"119,33","112,70","112,70","112,70","112,70","112,70","99,80","97,96","126,75","126,75","126,75","121,07","121,07","121,07",,"118,38",,"118,38",,"118,38",,,,,,,,,,
03-02-2020,"144,30","144,32","144,32","192,14","192,89","196,67","191,32","194,60","139,92","139,92","139,92","144,32","144,32","144,32",,"212,01",,"212,01",,"212,01",,,,,,,,,,
04-02-2020,"152,64","149,63","149,63","194,31","194,31","270,08","204,94","206,95","140,83","140,83","140,83","149,63","149,63","149,09",,"275,31",,"275,31",,"275,31",,,,,,,,,,
05-02-2020,"130,28","127,65","127,65","146,22","146,22","207,60","148,38","148,38","127,88","127,88","127,88","127,65","127,65","127,65",,"221,01",,"221,01",,"221,01",,,,,,,,,,
06-02-2020,"126,89","128,57","128,57","152,06","152,06","184,10","173,07","173,07","122,48","122,48","122,48","128,57","128,57","128,57",,"202,38",,"202,38",,"202,38",,,,,,,,,,
07-02-2020,"122,15","118,04","118,04","180,74","199,07","229,80","246,78","246,78","120,67","120,67","120,67","118,04","118,04","118,04",,"266,77",,"266,77",,"266,77",,,,,,,,,,
08-02-2020,"102,18","102,15","102,15","102,15","102,15","102,15","107,85","107,85","102,15","102,15","102,15","102,15","102,15","102,15",,"173,55",,"173,55",,"173,55",,,,,,,,,,
09-02-2020,"75,42","59,70","59,70","59,70","59,70","59,70","50,68","59,70","84,74","84,74","84,74","67,77","67,77","67,77",,"75,23",,"75,23",,"75,23",,,,,,,,,,
10-02-2020,"75,82","69,39","69,39","69,39","69,39","70,99","63,61","65,96","89,75","89,75","89,75","84,76","84,76","84,76",,"139,90",,"139,90",,"139,90",,,,,,,,,,
11-02-2020,"92,42","88,26","88,26","88,26","88,26","95,11","77,55","77,55","94,81","94,81","94,81","92,28","92,28","92,28",,"271,59",,"271,59",,"271,59",,,,,,,,,,
12-02-2020,"99,40","98,44","98,44","98,44","98,44","305,90","83,91","98,25","98,18","98,18","98,18","98,44","98,44","98,44",,"322,23",,"322,23",,"288,37",,,,,,,,,,
13-02-2020,"115,18","112,41","112,41","207,89","207,89","295,29","242,06","242,06","100,94","100,94","100,94","112,41","112,41","112,41",,"302,57",,"302,57",,"287,75",,,,,,,,,,
14-02-2020,"113,58","119,49","119,49","222,87","236,21","310,91","239,84","239,84","98,78","98,78","98,78","119,49","119,49","119,49",,"314,39",,"314,39",,"314,39",,,,,,,,,,
15-02-2020,"86,79","86,44","86,44","86,44","86,44","102,18","80,02","84,83","86,91","86,91","86,91","87,53","87,53","87,53",,"137,50",,"137,50",,"137,50",,,,,,,,,,
16-02-2020,"65,29","67,01","67,01","67,01","67,01","67,85","12,95","67,01","67,54","67,54","67,54","69,93","69,93","69,93",,"71,16",,"71,16",,"71,16",,,,,,,,,,
17-02-2020,"76,46","73,15","73,15","73,56","73,56","82,73","67,10","73,56","80,32","79,92","80,32","80,86","80,86","80,86",,"165,79",,"165,79",,"165,79",,,,,,,,,,
18-02-2020,"81,81","80,36","80,36","104,02","104,02","185,51","104,02","104,02","80,50","80,43","80,50","80,36","80,36","80,36",,"193,50",,"193,50",,"190,96",,,,,,,,,,
19-02-2020,"92,62","105,62","105,62","211,48","211,48","247,60","208,61","211,48","82,40","82,32","82,40","105,62","105,62","105,62",,"247,96",,"247,96",,"238,78",,,,,,,,,,
20-02-2020,"77,91","80,38","80,38","130,63","130,63","247,38","129,57","130,63","76,05","73,44","76,05","80,50","80,50","80,50",,"272,87",,"272,87",,"272,87",,,,,,,,,,
21-02-2020,"67,90","68,40","68,40","74,88","74,88","114,26","74,88","74,88","68,06","65,10","68,06","68,40","68,40","68,40",,"203,67",,"203,67",,"203,67",,,,,,,,,,
22-02-2020,"53,96","51,25","51,25","51,25","51,25","57,97","-7,13","51,25","59,73","58,65","59,73","56,34","56,34","56,34",,"71,24",,"71,24",,"71,24",,,,,,,,,,
23-02-2020,"59,17","60,80","60,80","60,80","60,80","65,63","39,60","60,80","61,39","59,89","61,39","61,92","61,92","61,92",,"86,72",,"86,72",,"86,72",,,,,,,,,,
24-02-2020,"80,61","82,14","82,14","210,69","210,69","211,06","203,54","210,69","74,95","69,32","74,95","82,74","82,74","82,74",,"215,04",,"215,04",,"215,04",,,,,,,,,,
25-02-2020,"87,42","106,01","106,01","121,15","121,15","289,53","118,25","121,15","75,76","71,86","75,76","106,01","106,01","106,01",,"303,36",,"299,69",,"299,53",,,,,,,,,,
26-02-2020,"100,80","139,65","139,65","214,74","214,98","293,68","215,24","215,77","76,99","76,44","76,99","133,41","133,41","133,41",,"293,68",,"293,68",,"293,68",,,,,,,,,,
27-02-2020,"133,69","329,42","329,42","329,42","329,42","329,42","287,23","329,42","83,39","79,71","83,39","147,05","147,05","147,05",,"329,42",,"329,42",,"329,42",,,,,,,,,,
28-02-2020,"110,92","162,28","162,28","227,25","231,83","274,30","225,39","231,83","81,05","80,64","81,05","144,13","144,13","144,13",,"274,30",,"266,94",,"266,94",,,,,,,,,,
29-02-2020,"77,78","89,31","89,31","89,31","89,31","179,14","70,25","89,31","75,56","71,97","75,56","89,38","89,38","89,38",,"186,86",,"186,86",,"185,72",,,,,,,,,,
01-03-2020,"73,59","78,59","78,59","78,59","78,59","140,57","35,64","81,33","72,84","69,14","72,84","81,16","81,16","81,16",,"140,57",,"140,57",,"140,57",,,,,,,,,,
02-03-2020,"95,10","115,31","115,31","191,30","219,80","255,55","228,62","228,62","77,24","74,44","77,24","115,31","115,31","115,31",,"256,69",,"256,69",,"256,69",,,,,,,,,,
03-03-2020,"92,27","111,27","111,27","153,96","245,49","236,69","270,90","272,90","73,67","73,36","73,67","110,90","110,90","110,90",,"261,53",,"261,53",,"261,53",,,,,,,,,,
04-03-2020,"92,75","101,93","101,93","232,75","245,16","232,75","296,02","296,02","74,24","74,22","74,24","101,93","101,93","101,93",,"247,10",,"247,10",,"247,10",,,,,,,,,,
05-03-2020,"104,66","107,21","107,21","230,68","247,68","240,77","269,18","274,20","76,14","76,14","76,14","107,21","107,21","107,21",,"257,85",,"257,85",,"257,85",,,,,,,,,,
06-03-2020,"115,10","114,76","114,76","170,99","176,41","211,94","200,58","200,58","85,77","85,77","85,77","114,76","114,76","114,76",,"221,51",,"221,51",,"221,51",,,,,,,,,,
07-03-2020,"100,70","100,63","100,63","109,26","172,96","153,15","210,18","210,18","77,60","77,60","77,57","100,63","100,63","100,63",,"177,33",,"177,33",,"177,33",,,,,,,,,,
08-03-2020,"70,55","70,54","70,54","70,54","70,54","70,54","83,23","83,23","70,40","70,40","70,40","70,73","70,73","70,73",,"116,96",,"116,96",,"116,96",,,,,,,,,,
09-03-2020,"79,61","77,02","77,02","82,12","223,54","87,00","271,17","271,17","74,75","74,75","74,75","77,02","77,02","77,02",,"227,61",,"227,61",,"227,61",,,,,,,,,,
10-03-2020,"80,40","81,34","81,34","82,93","88,07","190,70","90,51","91,43","71,89","71,86","71,89","81,34","81,34","81,34",,"252,04",,"252,04",,"252,04",,,,,,,,,,
11-03-2020,"69,74","70,04","70,04","70,04","70,04","206,05","63,04","111,67","67,65","67,65","67,65","70,04","70,04","70,04",,"206,05",,"206,05",,"202,74",,,,,,,,,,
12-03-2020,"64,75","64,28","64,28","64,28","64,28","192,83","50,33","66,83","63,67","63,54","63,67","64,28","64,28","64,28",,"192,83",,"192,83",,"192,83",,,,,,,,,,
13-03-2020,"63,51","63,18","63,18","69,67","69,67","139,84","80,07","80,07","62,09","62,09","62,09","63,18","63,18","63,18",,"155,29",,"155,29",,"155,29",,,,,,,,,,
14-03-2020,"69,03","69,51","69,51","102,52","132,01","165,01","189,24","189,24","62,48","62,48","62,48","69,51","69,51","69,51",,"165,01",,"165,01",,"165,01",,,,,,,,,,
15-03-2020,"50,79","51,22","51,22","51,22","51,22","51,22","34,50","53,75","51,87","51,87","51,87","51,22","51,22","51,22",,"60,52",,"60,52",,"60,52",,,,,,,,,,
16-03-2020,"70,59","66,59","66,59","176,53","178,85","179,17","191,33","191,33","61,60","61,60","61,60","66,59","66,59","66,59",,"179,17",,"179,17",,"179,17",,,,,,,,,,
17-03-2020,"59,31","55,78","55,78","124,16","128,06","135,21","131,56","131,56","56,10","56,10","56,10","55,78","55,78","55,78",,"206,68",,"206,68",,"206,68",,,,,,,,,,
18-03-2020,"54,66","57,53","57,53","81,32","81,32","135,96","96,60","96,60","51,37","51,37","51,37","57,53","57,53","57,53",,"135,96",,"135,96",,"135,96",,,,,,,,,,
19-03-2020,"55,26","52,28","52,28","123,50","131,32","164,38","140,55","140,71","52,36","52,36","52,36","52,28","52,28","52,28",,"169,64",,"169,64",,"169,64",,,,,,,,,,
20-03-2020,"71,24","63,25","63,25","117,97","154,48","221,92","146,06","155,73","56,47","56,47","56,47","63,25","63,25","63,25",,"235,01",,"235,01",,"235,01",,,,,,,,,,
21-03-2020,"60,34","57,07","57,07","69,63","79,58","145,12","81,47","82,42","56,53","56,53","56,53","57,07","57,07","57,07",,"145,76",,"145,76",,"145,76",,,,,,,,,,
22-03-2020,"50,31","48,81","48,81","56,90","66,30","72,23","61,63","66,30","49,56","49,56","49,56","48,81","48,81","48,81",,"74,35",,"74,35",,"74,35",,,,,,,,,,
23-03-2020,"58,42","56,00","56,00","88,68","95,45","127,25","103,96","121,54","56,82","56,82","56,82","56,00","56,00","56,00",,"188,66",,"188,66",,"188,66",,,,,,,,,,
24-03-2020,"51,66","49,33","49,33","51,58","60,68","90,39","67,01","149,12","51,58","51,58","51,58","49,33","49,33","49,33",,"197,22",,"197,22",,"197,22",,,,,,,,,,
25-03-2020,"49,01","45,53","45,53","50,63","50,63","63,12","117,52","172,23","49,69","49,69","49,69","45,53","45,53","45,53",,"117,83",,"117,83",,"117,83",,,,,,,,,,
26-03-2020,"52,42","47,43","47,43","93,17","102,22","163,08","166,03","166,03","49,86","49,86","49,86","47,43","47,43","47,43",,"182,04",,"182,04",,"182,04",,,,,,,,,,
27-03-2020,"47,71","45,04","45,04","93,07","93,07","109,64","160,92","160,92","46,15","46,15","46,15","45,04","45,04","45,04",,"191,30",,"191,30",,"191,30",,,,,,,,,,
28-03-2020,"39,19","38,86","38,86","39,25","39,25","44,83","71,18","100,25","39,25","39,25","39,25","38,86","38,86","38,86",,"107,22",,"107,22",,"107,22",,,,,,,,,,
29-03-2020,"37,46","37,08","37,08","41,04","41,04","85,11","31,32","31,32","36,78","35,57","36,78","37,08","37,08","37,08",,"85,11",,"85,11",,"85,11",,,,,,,,,,
30-03-2020,"63,34","49,44","49,44","149,62","149,62","203,65","160,35","174,09","47,74","47,74","47,74","49,44","49,44","49,44",,"203,65",,"203,65",,"201,27",,,,,,,,,,
31-03-2020,"41,07","38,14","38,14","86,06","88,28","201,52","125,31","178,44","39,18","39,18","39,18","38,10","38,10","38,10",,"201,52",,"201,52",,"201,52",,,,,,,,,,
01-04-2020,"41,01","38,21","38,21","52,19","52,19","131,91","52,19","108,76","37,00","37,00","37,00","38,21","38,21","38,21",,"132,55",,"132,55",,"131,05",,,,,,,,,,
02-04-2020,"35,48","34,15","34,15","34,15","34,15","186,13","34,15","78,63","34,10","34,10","34,10","34,15","34,15","34,15",,"186,13",,"186,13",,"157,89",,,,,,,,,,
03-04-2020,"31,14","30,18","30,18","30,34","30,34","117,33","39,02","98,61","30,22","30,22","30,22","30,18","30,18","30,18",,"128,24",,"128,24",,"128,24",,,,,,,,,,
04-04-2020,"35,60","32,74","32,74","65,34","65,34","145,70","149,18","150,47","33,77","33,77","33,77","32,74","32,74","32,74",,"146,80",,"146,80",,"146,80",,,,,,,,,,
05-04-2020,"33,25","33,76","33,76","33,76","33,76","75,87","40,19","51,27","32,38","32,38","32,38","33,76","33,76","33,76",,"150,40",,"150,40",,"150,40",,,,,,,,,,
06-04-2020,"34,58","33,93","33,93","50,33","50,33","129,87","107,09","129,48","32,66","32,66","32,66","33,93","33,93","33,93",,"177,38",,"177,38",,"177,38",,,,,,,,,,
07-04-2020,"34,54","31,25","31,25","74,69","74,69","100,53","165,08","174,07","33,09","33,09","33,09","31,25","31,25","31,25",,"130,15",,"130,15",,"130,15",,,,,,,,,,
08-04-2020,"32,96","26,76","26,76","58,25","156,87","81,21","193,52","198,01","34,02","34,02","34,02","26,76","26,76","26,76",,"158,95",,"178,47",,"178,47",,,,,,,,,,
09-04-2020,"33,94","28,24","28,24","65,25","109,29","106,04","120,49","172,25","34,52","34,52","34,52","28,24","28,24","28,24",,"133,84",,"133,84",,"133,84",,,,,,,,,,
10-04-2020,"36,57","30,54","30,54","81,89","131,64","105,05","170,97","172,71","36,91","36,91","36,91","30,54","30,54","30,54",,"178,46",,"178,46",,"178,46",,,,,,,,,,
11-04-2020,"38,57","36,57","36,57","71,66","99,41","120,21","123,58","155,67","36,96","36,96","36,96","36,57","36,57","36,57",,"120,21",,"120,21",,"120,21",,,,,,,,,,
12-04-2020,"28,48","27,53","27,53","28,73","28,73","30,17","47,31","82,96","28,97","28,97","28,97","27,53","27,53","27,53",,"31,72",,"31,72",,"31,72",,,,,,,,,,
13-04-2020,"15,36","17,24","17,24","18,22","18,22","43,74","-61,47","-52,45","18,22","18,22","18,22","17,24","17,24","17,24",,"43,74",,"43,74",,"43,74",,,,,,,,,,
14-04-2020,"36,13","30,14","30,14","74,99","114,18","210,25","84,04","135,45","34,92","34,92","34,92","30,50","30,50","32,72",,"210,25",,"162,32",,"158,43",,,,,,,,,,
15-04-2020,"34,46","30,22","30,22","34,50","34,50","270,34","34,50","95,08","33,80","33,80","33,80","30,22","30,22","30,48",,"270,34",,"254,51",,"247,29",,,,,,,,,,
16-04-2020,"33,94","26,48","26,48","40,67","79,19","196,69","103,63","154,85","33,77","33,77","33,77","26,48","26,48","34,64",,"203,49",,"198,10",,"192,65",,,,,,,,,,
17-04-2020,"36,00","26,37","26,37","88,57","205,50","232,29","204,85","205,90","36,74","36,74","36,74","26,88","26,88","29,50",,"238,10",,"240,96",,"240,96",,,,,,,,,,
18-04-2020,"38,25","32,40","32,40","73,29","149,73","118,19","150,12","150,21","37,71","37,71","37,71","32,40","32,40","32,40",,"160,18",,"166,54",,"166,54",,,,,,,,,,
19-04-2020,"36,58","35,88","35,88","36,03","91,18","86,71","70,21","96,50","36,03","36,03","36,03","35,88","35,88","35,88",,"100,63",,"101,35",,"101,35",,,,,,,,,,
20-04-2020,"39,60","34,48","34,48","69,26","74,85","201,89","69,27","74,98","37,49","37,49","37,49","34,48","34,48","34,48",,"227,76",,"227,76",,"227,76",,,,,,,,,,
21-04-2020,"38,71","36,92","36,92","77,27","77,60","218,56","46,68","77,60","34,66","34,35","34,66","36,82","36,82","36,82",,"229,61",,"229,61",,"229,61",,,,,,,,,,
22-04-2020,"44,85","41,99","41,99","78,41","92,07","229,18","89,53","92,07","38,85","38,85","38,85","38,57","38,57","38,57",,"256,74",,"256,74",,"256,74",,,,,,,,,,
23-04-2020,"44,47","41,14","41,14","101,72","194,62","205,89","193,00","197,67","36,93","36,93","36,93","36,93","36,93","36,93",,"244,39",,"244,39",,"244,39",,,,,,,,,,
24-04-2020,"39,31","36,92","36,92","62,07","143,86","127,18","120,38","143,86","36,20","36,20","36,20","36,92","36,92","36,92",,"238,99",,"238,99",,"238,99",,,,,,,,,,
25-04-2020,"36,77","36,15","36,15","36,15","116,58","66,12","117,75","117,75","36,15","36,15","36,15","36,15","36,15","36,15",,"116,71",,"116,71",,"116,71",,,,,,,,,,
26-04-2020,"40,90","40,82","40,82","58,17","136,82","86,04","137,86","139,19","36,15","36,15","36,15","39,81","39,81","39,81",,"151,55",,"151,55",,"151,55",,,,,,,,,,
27-04-2020,"58,65","57,84","57,84","130,71","186,10","197,05","183,19","187,86","39,56","39,56","39,56","44,80","44,80","45,63",,"230,80",,"230,80",,"230,80",,,,,,,,,,
28-04-2020,"69,04","68,32","68,32","157,89","193,45","226,38","183,41","194,31","40,71","40,71","40,71","53,73","53,73","55,93",,"244,93",,"244,93",,"244,93",,,,,,,,,,
29-04-2020,"66,63","93,95","93,95","151,02","167,88","200,52","162,01","167,91","39,87","39,87","39,87","52,05","52,05","52,05",,"232,53",,"232,53",,"232,53",,,,,,,,,,
30-04-2020,"51,21","76,55","76,55","79,09","133,94","190,95","122,33","134,20","38,51","38,51","38,51","47,74","47,74","51,50",,"229,73",,"229,73",,"229,73",,,,,,,,,,
01-05-2020,"42,40","46,34","46,34","54,21","68,51","58,11","68,41","73,53","38,15","38,15","38,15","41,87","41,87","47,49",,"80,60",,"80,60",,"80,60",,,,,,,,,,
02-05-2020,"50,66","64,53","64,53","64,53","89,48","67,19","93,02","94,00","42,65","42,65","42,65","56,00","56,00","56,00",,"157,66",,"157,66",,"157,66",,,,,,,,,,
03-05-2020,"50,55","59,76","59,76","73,97","78,46","79,58","80,94","80,97","43,62","43,62","43,62","53,85","53,85","54,59",,"89,55",,"89,55",,"89,55",,,,,,,,,,
04-05-2020,"70,12","59,48","59,48","141,38","144,87","166,08","147,04","170,72","49,60","49,60","49,60","59,48","59,48","59,51",,"236,92",,"236,92",,"236,92",,,,,,,,,,
05-05-2020,"60,45","54,88","54,88","125,18","125,18","137,35","159,93","162,38","52,18","52,18","52,18","53,35","53,35","53,64",,"234,88",,"234,88",,"234,88",,,,,,,,,,
06-05-2020,"52,69","50,09","50,09","79,44","79,44","86,66","96,76","160,35","51,89","51,89","51,89","50,09","50,09","50,09",,"203,86",,"203,86",,"203,86",,,,,,,,,,
07-05-2020,"59,77","54,63","54,63","100,95","100,95","104,59","133,17","177,86","58,61","58,61","58,61","54,63","54,63","54,63",,"223,89",,"223,89",,"223,89",,,,,,,,,,
08-05-2020,"65,46","61,10","61,10","71,63","71,63","206,51","146,77","177,48","59,05","59,05","59,05","61,10","61,10","61,10",,"257,20",,"257,20",,"257,20",,,,,,,,,,
09-05-2020,"61,02","59,99","59,99","60,48","60,48","87,84","161,61","164,03","60,48","60,48","60,48","59,99","59,99","59,99",,"168,77",,"168,77",,"168,77",,,,,,,,,,
10-05-2020,"56,32","55,95","55,95","55,95","55,95","80,79","84,51","97,92","55,95","55,95","55,95","55,95","55,95","55,95",,"163,44",,"163,44",,"163,44",,,,,,,,,,
11-05-2020,"62,18","58,72","58,72","99,85","99,85","138,20","100,91","104,96","60,48","60,48","60,48","58,72","58,72","58,72",,"164,67",,"164,67",,"164,67",,,,,,,,,,
12-05-2020,"86,32","79,46","79,46","99,56","99,56","226,50","96,27","166,16","76,04","76,04","76,04","79,46","79,46","79,46",,"226,50",,"226,50",,"226,50",,,,,,,,,,
13-05-2020,"109,43","102,83","102,83","203,55","203,55","225,82","221,88","226,48","106,47","106,47","106,47","102,83","102,83","102,83",,"227,51",,"221,86",,"219,76",,,,,,,,,,
14-05-2020,"109,10","100,34","100,34","140,65","140,65","184,67","135,36","177,68","109,02","109,02","109,02","100,34","100,34","100,34",,"257,07",,"257,07",,"257,07",,,,,,,,,,
15-05-2020,"97,43","93,18","93,18","99,95","99,95","215,91","102,30","157,23","95,40","95,40","95,40","93,18","93,18","93,18",,"225,96",,"225,96",,"225,96",,,,,,,,,,
16-05-2020,"71,12","70,02","70,02","70,02","70,02","107,10","70,02","101,01","70,02","70,02","70,02","70,02","70,02","70,02",,"107,10",,"107,10",,"107,10",,,,,,,,,,
17-05-2020,"70,29","74,82","74,82","74,82","74,82","76,25","47,22","59,21","74,55","68,69","74,55","74,82","74,82","74,82",,"76,25",,"76,25",,"76,25",,,,,,,,,,
18-05-2020,"110,63","102,90","102,90","125,04","125,04","336,02","140,78","144,74","99,64","99,64","99,64","102,90","102,90","102,90",,"336,02",,"244,68",,"244,68",,,,,,,,,,
19-05-2020,"105,91","112,97","112,97","142,61","142,61","251,58","167,13","176,61","93,13","93,13","93,13","112,97","112,97","112,97",,"259,21",,"236,95",,"236,95",,,,,,,,,,
20-05-2020,"111,64","193,29","193,29","194,48","219,16","208,24","224,65","277,48","75,82","75,82","75,82","193,29","193,29","193,29",,"232,24",,"232,24",,"232,24",,,,,,,,,,
21-05-2020,"79,60","101,74","101,74","101,74","101,74","101,74","144,59","146,02","64,07","64,07","64,07","101,74","101,74","101,74",,"216,90",,"216,90",,"216,90",,,,,,,,,,
22-05-2020,"65,57","73,83","73,83","75,83","75,83","156,44","98,61","140,46","54,54","54,54","54,54","73,83","73,83","73,83",,"238,94",,"238,94",,"238,94",,,,,,,,,,
23-05-2020,"30,23","29,65","29,65","29,65","29,65","33,60","44,92","76,57","29,65","29,65","29,65","29,65","29,65","29,65",,"184,90",,"184,90",,"184,90",,,,,,,,,,
24-05-2020,"19,55","33,71","33,71","33,71","33,71","43,44","-24,82","-16,48","16,91","16,91","16,91","33,71","33,71","33,71",,"64,35",,"64,35",,"64,35",,,,,,,,,,
25-05-2020,"65,90","124,08","124,08","125,93","125,93","205,68","132,11","136,87","36,68","36,68","36,68","54,85","54,85","60,86",,"217,93",,"217,93",,"217,93",,,,,,,,,,
26-05-2020,"36,81","105,98","105,98","151,30","242,34","242,25","226,60","265,20","11,52","11,52","11,52","34,85","34,85","50,40",,"248,78",,"248,78",,"248,78",,,,,,,,,,
