Production DK areas in MWh,,,
Data was last updated 01-01-2020,,,
,DK1,DK2,DK
18-05-2018,38182,16399,54581
19-05-2018,23136,13498,36634
20-05-2018,25257,13223,38480
21-05-2018,37064,20437,57501
22-05-2018,33898,20467,54365
23-05-2018,25206,17937,43143
24-05-2018,35480,23804,59284
25-05-2018,32075,21086,53161
26-05-2018,22208,11859,34067
27-05-2018,29185,14468,43653
28-05-2018,34651,18874,53525
29-05-2018,28383,17756,46139
30-05-2018,43549,21293,64842
31-05-2018,36386,23221,59607
01-06-2018,21330,17604,38934
02-06-2018,13068,10823,23891
03-06-2018,21704,12875,34579
04-06-2018,39041,18097,57138
05-06-2018,23353,13142,36495
06-06-2018,19460,15491,34951
07-06-2018,22520,14181,36701
08-06-2018,16256,12528,28784
09-06-2018,11216,9239,20455
10-06-2018,13746,7470,21216
11-06-2018,64931,18298,83229
12-06-2018,37557,13641,51198
13-06-2018,59189,13801,72990
14-06-2018,65632,13417,79049
15-06-2018,27980,9958,37938
16-06-2018,20265,8983,29248
17-06-2018,47051,11737,58788
18-06-2018,45304,12453,57757
19-06-2018,60562,17353,77915
20-06-2018,57173,16842,74015
21-06-2018,69999,19168,89167
22-06-2018,69251,21655,90906
23-06-2018,70609,21727,92336
24-06-2018,36483,10580,47063
25-06-2018,32182,11666,43848
26-06-2018,15576,9324,24900
27-06-2018,23748,9250,32998
28-06-2018,26140,9051,35191
29-06-2018,38479,12301,50780
30-06-2018,22937,8305,31242
01-07-2018,20478,9409,29887
02-07-2018,27221,11895,39116
03-07-2018,31604,10077,41681
04-07-2018,24926,9750,34676
05-07-2018,37010,11987,48997
06-07-2018,70121,22217,92338
07-07-2018,61024,21172,82196
08-07-2018,34789,12097,46886
09-07-2018,70939,19860,90799
10-07-2018,39941,13071,53012
11-07-2018,28997,16103,45100
12-07-2018,22646,13248,35894
13-07-2018,39981,18215,58196
14-07-2018,41191,14705,55896
15-07-2018,27045,11894,38939
16-07-2018,22524,12702,35226
17-07-2018,20906,10590,31496
18-07-2018,32503,16757,49260
19-07-2018,38825,16332,55157
20-07-2018,36872,14272,51144
21-07-2018,27342,11236,38578
22-07-2018,30051,11675,41726
23-07-2018,34040,13710,47750
24-07-2018,22242,11450,33692
25-07-2018,23912,12437,36349
26-07-2018,25712,13106,38818
27-07-2018,37926,18561,56487
28-07-2018,51388,17663,69051
29-07-2018,28186,10659,38845
30-07-2018,27164,13328,40492
31-07-2018,34824,15436,50260
01-08-2018,19330,11708,31038
02-08-2018,19382,10531,29913
03-08-2018,24780,9714,34494
04-08-2018,42046,13019,55065
05-08-2018,65202,21083,86285
06-08-2018,35994,12433,48427
07-08-2018,20418,13623,34041
08-08-2018,40753,14552,55305
09-08-2018,29090,13167,42257
10-08-2018,77224,23811,101035
11-08-2018,46154,21156,67310
12-08-2018,34013,13596,47609
13-08-2018,27834,11499,39333
14-08-2018,22977,13971,36948
15-08-2018,29115,11420,40535
16-08-2018,56951,12447,69398
17-08-2018,33888,9324,43212
18-08-2018,63680,13150,76830
19-08-2018,39752,11784,51536
20-08-2018,59546,20839,80385
21-08-2018,27376,12389,39765
22-08-2018,50988,12220,63208
23-08-2018,34418,11808,46226
24-08-2018,41859,17659,59518
25-08-2018,26771,14877,41648
26-08-2018,38401,15351,53752
27-08-2018,61147,20596,81743
28-08-2018,35462,12922,48384
29-08-2018,25229,12617,37846
30-08-2018,37619,11253,48872
31-08-2018,37168,13981,51149
01-09-2018,17800,8685,26485
02-09-2018,17332,9883,27215
03-09-2018,24495,17718,42213
04-09-2018,20567,11289,31856
05-09-2018,19019,10608,29627
06-09-2018,37874,15959,53833
07-09-2018,45292,14762,60054
08-09-2018,58034,19702,77736
09-09-2018,48726,12463,61189
10-09-2018,56560,13367,69927
11-09-2018,60552,19886,80438
12-09-2018,70559,18143,88702
13-09-2018,52882,11703,64585
14-09-2018,59800,13212,73012
15-09-2018,45357,17899,63256
16-09-2018,52637,13858,66495
17-09-2018,43981,13505,57486
18-09-2018,59749,16136,75885
19-09-2018,67680,14822,82502
20-09-2018,49509,16572,66081
21-09-2018,75664,26444,102108
22-09-2018,73496,28655,102151
23-09-2018,67800,20127,87927
24-09-2018,68436,28765,97201
25-09-2018,54240,21210,75450
26-09-2018,79141,30895,110036
27-09-2018,76429,25797,102226
28-09-2018,73619,27112,100731
29-09-2018,57860,18330,76190
30-09-2018,56183,20694,76877
01-10-2018,57317,17306,74623
02-10-2018,71719,29088,100807
03-10-2018,59250,33318,92568
04-10-2018,54799,21233,76032
05-10-2018,51190,22849,74039
06-10-2018,34692,14671,49363
07-10-2018,38473,18975,57448
08-10-2018,72513,24916,97429
09-10-2018,63541,25144,88685
10-10-2018,41001,18072,59073
11-10-2018,55257,25429,80686
12-10-2018,53298,19151,72449
13-10-2018,59532,20739,80271
14-10-2018,49822,22885,72707
15-10-2018,39713,20472,60185
16-10-2018,39780,21119,60899
17-10-2018,42248,19687,61935
18-10-2018,47287,23341,70628
19-10-2018,35593,20526,56119
20-10-2018,46847,19426,66273
21-10-2018,52027,20095,72122
22-10-2018,69965,30357,100322
23-10-2018,90394,36271,126665
24-10-2018,62465,30342,92807
25-10-2018,79534,34642,114176
26-10-2018,53638,26222,79860
27-10-2018,65971,30884,96855
28-10-2018,60323,23069,83392
29-10-2018,90170,36326,126496
30-10-2018,78021,31255,109276
31-10-2018,63505,28834,92339
01-11-2018,59895,19455,79350
02-11-2018,58689,27412,86101
03-11-2018,57928,18551,76479
04-11-2018,54799,19558,74357
05-11-2018,41551,20133,61684
06-11-2018,39922,18036,57958
07-11-2018,45697,19192,64889
08-11-2018,40126,20106,60232
09-11-2018,43359,23293,66652
10-11-2018,66457,25487,91944
11-11-2018,53413,25017,78430
12-11-2018,45748,21878,67626
13-11-2018,47556,25869,73425
14-11-2018,53468,25067,78535
15-11-2018,54081,21169,75250
16-11-2018,51112,26375,77487
17-11-2018,39850,17660,57510
18-11-2018,49138,23937,73075
19-11-2018,67502,33312,100814
20-11-2018,80500,35063,115563
21-11-2018,81692,38289,119981
22-11-2018,56715,27013,83728
23-11-2018,47325,22009,69334
24-11-2018,41603,18806,60409
25-11-2018,52967,25427,78394
26-11-2018,39734,28287,68021
27-11-2018,48876,26112,74988
28-11-2018,81912,38958,120870
29-11-2018,90314,43237,133551
30-11-2018,88791,36497,125288
01-12-2018,64887,30396,95283
02-12-2018,60654,29221,89875
03-12-2018,79166,29957,109123
04-12-2018,94034,37047,131081
05-12-2018,54093,27411,81504
06-12-2018,67888,28587,96475
07-12-2018,75434,30402,105836
08-12-2018,77074,36771,113845
09-12-2018,64435,31813,96248
10-12-2018,88855,38751,127606
11-12-2018,74006,33985,107991
12-12-2018,58617,29044,87661
13-12-2018,67399,29983,97382
14-12-2018,69793,21855,91648
15-12-2018,71322,17925,89247
16-12-2018,81943,26456,108399
17-12-2018,55904,22698,78602
18-12-2018,68608,26788,95396
19-12-2018,80100,33287,113387
20-12-2018,70281,25786,96067
21-12-2018,74167,32765,106932
22-12-2018,46614,24655,71269
23-12-2018,45702,26762,72464
24-12-2018,62519,31157,93676
25-12-2018,86161,39563,125724
26-12-2018,65763,31889,97652
27-12-2018,74336,33311,107647
28-12-2018,65721,25642,91363
29-12-2018,62854,30423,93277
30-12-2018,61266,29665,90931
31-12-2018,74801,27611,102412
