Wind power DK in MWh,,
Data was last updated 10-03-2022,,
,DK1,DK2
03-07-2021,3915,3392
04-07-2021,2718,513
05-07-2021,11925,2152
06-07-2021,26959,6084
07-07-2021,30462,3211
08-07-2021,8484,1738
09-07-2021,6707,2434
10-07-2021,24851,9314
11-07-2021,7693,2137
12-07-2021,21819,8426
13-07-2021,12530,3584
14-07-2021,5470,3384
15-07-2021,12445,980
16-07-2021,12311,2114
17-07-2021,39064,4166
18-07-2021,54446,12641
19-07-2021,24441,5117
20-07-2021,43340,6917
21-07-2021,13839,2719
22-07-2021,11427,1672
23-07-2021,4607,1105
24-07-2021,10306,6552
25-07-2021,40946,10514
26-07-2021,14020,1893
27-07-2021,7612,1772
28-07-2021,21136,4491
29-07-2021,42745,15041
30-07-2021,43607,13022
31-07-2021,28655,12395
01-08-2021,50161,7861
02-08-2021,29851,10889
03-08-2021,20828,2107
04-08-2021,3773,458
05-08-2021,8255,3860
06-08-2021,40569,9200
07-08-2021,20577,2865
08-08-2021,16284,7061
09-08-2021,29085,8313
10-08-2021,8479,4050
11-08-2021,12050,2878
12-08-2021,12666,1854
13-08-2021,28512,6142
14-08-2021,54091,14276
15-08-2021,28376,9780
16-08-2021,13750,9065
17-08-2021,46974,18822
18-08-2021,55925,19029
19-08-2021,54759,11758
20-08-2021,29149,2485
21-08-2021,8101,1003
22-08-2021,6855,4709
23-08-2021,4650,3277
24-08-2021,8186,643
25-08-2021,55017,12372
26-08-2021,52866,10004
27-08-2021,62220,6997
28-08-2021,44034,7293
29-08-2021,25466,6214
30-08-2021,17745,5225
31-08-2021,6537,3777
01-09-2021,6654,2670
02-09-2021,12565,2032
03-09-2021,30472,6595
04-09-2021,12317,3954
05-09-2021,9896,8286
06-09-2021,3280,841
07-09-2021,6302,388
08-09-2021,7239,1319
09-09-2021,5900,1223
10-09-2021,5954,868
11-09-2021,8282,3085
12-09-2021,42191,8210
13-09-2021,14556,3846
14-09-2021,2812,903
15-09-2021,30771,6289
16-09-2021,29060,6842
17-09-2021,34769,7957
18-09-2021,12640,5443
19-09-2021,19243,4522
20-09-2021,6114,1895
21-09-2021,26955,4364
22-09-2021,31440,5302
23-09-2021,59012,16220
24-09-2021,46627,13753
25-09-2021,27500,6050
26-09-2021,16142,4428
27-09-2021,33647,7381
28-09-2021,10652,2423
29-09-2021,25631,4944
30-09-2021,30182,17042
01-10-2021,48777,12840
02-10-2021,18720,6597
03-10-2021,36922,15849
04-10-2021,31513,5801
05-10-2021,28760,3873
06-10-2021,9819,4198
07-10-2021,9913,324
08-10-2021,6905,1337
09-10-2021,6148,2357
10-10-2021,24474,5232
11-10-2021,57032,11488
12-10-2021,23531,8791
13-10-2021,16852,4658
14-10-2021,39245,9110
15-10-2021,43610,13578
16-10-2021,39159,10733
17-10-2021,9042,4856
18-10-2021,11948,2298
19-10-2021,33339,7530
20-10-2021,40629,13785
21-10-2021,41821,12918
22-10-2021,53530,15955
23-10-2021,21519,9138
24-10-2021,43993,8106
25-10-2021,29811,5401
26-10-2021,25050,8167
27-10-2021,45968,12312
28-10-2021,49146,8032
29-10-2021,36162,8159
30-10-2021,36656,6006
31-10-2021,35753,10559
01-11-2021,56637,9562
02-11-2021,16661,862
03-11-2021,4772,280
04-11-2021,8785,8080
05-11-2021,40444,13683
06-11-2021,37952,13352
07-11-2021,35073,13703
08-11-2021,12204,1363
09-11-2021,57257,11820
10-11-2021,25195,6122
11-11-2021,25915,4042
12-11-2021,24247,6010
13-11-2021,19227,2785
14-11-2021,16844,3985
15-11-2021,5400,1910
16-11-2021,8778,734
17-11-2021,40177,9309
18-11-2021,44686,15927
19-11-2021,51394,15671
20-11-2021,46068,16670
21-11-2021,24443,7934
22-11-2021,24412,4596
23-11-2021,43033,9942
24-11-2021,38453,10487
25-11-2021,42353,15500
26-11-2021,34296,7284
27-11-2021,37646,5329
28-11-2021,17769,808
29-11-2021,25356,9724
30-11-2021,49504,24231
01-12-2021,68002,27182
02-12-2021,50692,28924
03-12-2021,34467,31443
04-12-2021,32846,13567
05-12-2021,78998,30528
06-12-2021,51408,18609
07-12-2021,70572,26487
08-12-2021,73540,31954
09-12-2021,35585,6767
10-12-2021,17479,1301
11-12-2021,3683,7537
12-12-2021,25573,10461
13-12-2021,28570,9902
14-12-2021,36361,15216
15-12-2021,65550,26737
16-12-2021,47641,23175
17-12-2021,31490,11295
18-12-2021,60108,15335
19-12-2021,46382,26083
20-12-2021,14752,10847
21-12-2021,6040,1907
22-12-2021,8971,11185
23-12-2021,15065,5261
24-12-2021,38390,15763
25-12-2021,17778,10236
26-12-2021,12580,5668
27-12-2021,67685,27317
28-12-2021,40134,19616
29-12-2021,13398,2060
30-12-2021,70092,25540
31-12-2021,45455,29954
